time,glass_temp_zone1,glass_temp_zone2,glass_temp_zone3,glass_temp_zone4,RPM,energy_equivalent,batch,recipe,pressing_pressure,pressing_time,geometry_final,geometry_name,glass_ID,cycle_time,temp_chamber05,temp_chamber07,temp_chamber09,temp_chamber11,temp_chamber13,temp_chamber15,temp_chamber17,regulation_temp,optics_ok
2021-02-12 14:56:33,652.9781212121213,635.7311538461537,589.1319230769233,600.7415151515153,3000,151.73107837956488,Batch-5,Recipe-C,188.0,70.0,0.2809999883174896,Center Q1,2010141756303965,2450.0,599.7727272727273,617.0,643.8260869565217,636.3333333333334,626.4347826086956,610.0,587.0,459.0,0.0
2021-02-12 14:56:57,652.5626666666666,635.0523626373626,589.334010989011,600.9484242424243,3000,151.73757344677546,Batch-5,Recipe-C,167.0,70.0,-0.6714000105857849,Center Q1,2010141756523966,2450.0,599.4583333333334,617.0,643.5833333333334,636.4,627.0,610.0,587.0,458.7999877929688,1.0
2021-02-12 14:57:21,651.7878181818181,634.2614835164835,588.9664835164835,599.8510303030303,3000,151.56348786506086,Batch-5,Recipe-C,167.0,70.0,-0.6186000108718872,Center Q1,2010141757123967,2450.0,599.4,616.5833333333334,643.4347826086956,636.0,626.1,609.2608695652174,587.0,459.2000122070313,1.0
2021-02-12 14:57:44,651.7003030303031,634.3711538461539,588.8628021978022,599.9789090909089,3000,151.59520239575244,Batch-5,Recipe-C,167.0,70.0,-0.6240000128746033,Center Q1,2010141757323968,2450.0,599.2608695652174,616.25,643.0,635.7826086956521,626.0,609.2857142857142,587.0,459.3999938964844,0.0
2021-02-12 14:58:11,651.8261212121213,634.7032967032967,588.5519230769231,600.0707878787879,3000,151.59447760023315,Batch-5,Recipe-C,188.0,70.0,-0.3089999854564667,Center Q1,2010141758113970,2450.0,599.2916666666666,616.3333333333334,643.0,635.3333333333334,626.0,609.8,587.0,459.0,1.0
2021-02-12 14:58:34,651.6553939393939,634.5652197802198,588.2861538461539,599.7578787878787,3000,151.5287695112665,Batch-5,Recipe-C,196.0,70.0,-0.2487999945878982,Center Q1,2010141758273971,2450.0,599.0,616.9166666666666,643.4583333333334,635.625,626.0,609.7916666666666,587.0,458.5,1.0
2021-02-12 14:58:59,651.8089090909091,634.6393406593407,588.0662637362637,599.5961818181818,3000,151.4990003142968,Batch-5,Recipe-C,204.0,70.0,-0.36039999127388,Center Q1,2010141758493972,2450.0,599.9166666666666,617.0,643.8260869565217,635.7391304347826,626.0,609.16,586.7391304347826,458.5,1.0
2021-02-12 14:59:22,651.3707272727273,633.9957692307693,587.843901098901,599.3570909090909,3000,151.43798056371406,Batch-5,Recipe-C,221.0,70.0,-0.5144000053405762,Center Q1,2010141759293974,2450.0,600.0833333333334,617.0,644.5416666666666,636.0,626.0,609.0833333333334,586.76,458.6000061035156,0.0
2021-02-12 14:59:48,651.7171515151515,633.8828571428571,588.7174175824175,600.1129090909093,3000,151.54405082491584,Batch-5,Recipe-C,175.0,70.0,-0.7888000011444092,Center Q1,2010141759483975,2450.0,599.625,616.3636363636364,643.7272727272727,636.0434782608696,625.8333333333334,609.5,586.695652173913,458.5,1.0
2021-02-12 15:00:13,651.2899393939393,634.2229120879119,588.7059340659341,599.7023636363638,3000,151.54199023141672,Batch-5,Recipe-C,158.0,70.0,-0.9039999842643738,Center Q1,2010141800083976,2450.0,599.0,616.0,642.68,636.0,627.1666666666666,609.5,587.0,459.0,0.0
2021-02-12 15:00:37,651.1224848484849,633.8406593406594,588.5895604395604,599.6880606060606,3000,151.46933960372957,Batch-5,Recipe-C,171.0,70.0,-1.239799976348877,Center Q1,2010141800253977,2450.0,599.0434782608696,616.0,642.9545454545455,635.48,626.5833333333334,609.5,587.0,459.7000122070313,0.0
2021-02-12 15:01:01,651.098606060606,634.1524175824176,588.2452747252747,599.4030909090909,3000,151.4334832984978,Batch-5,Recipe-C,188.0,70.0,-1.0399999618530271,Center Q1,2010141800473978,2450.0,599.25,615.52,643.16,635.695652173913,626.0,609.6666666666666,587.0,459.6000061035156,0.0
2021-02-12 15:01:27,651.193696969697,633.8134065934065,588.3863186813187,599.5576969696971,3000,151.4401599858845,Batch-5,Recipe-C,179.0,70.0,-1.0839999914169312,Center Q1,2010141801333980,2450.0,599.2173913043479,615.2272727272727,643.0869565217391,636.0,625.8,609.88,587.0,459.3999938964844,1.0
2021-02-12 15:01:50,651.7601818181819,634.6649450549452,588.4802197802197,600.0161818181817,3000,151.53430284265738,Batch-5,Recipe-C,200.0,70.0,-0.259799987077713,Center Q1,2010141801533981,2450.0,599.6521739130435,615.88,643.4,635.6521739130435,625.625,609.304347826087,587.0,459.3999938964844,1.0
2021-02-12 15:02:16,652.4030303030303,634.9548351648352,588.9252197802198,600.4318181818181,3000,151.65260851463353,Batch-5,Recipe-C,208.0,70.0,0.3039999902248382,Center Q1,2010141802123982,2450.0,599.5909090909091,616.0,644.0,635.84,625.76,609.6,587.0,459.3999938964844,0.0
2021-02-12 15:02:41,652.5961212121213,635.257967032967,589.0364835164835,600.5835757575758,3000,151.6824315976431,Batch-5,Recipe-C,200.0,70.0,0.2342000007629394,Center Q1,2010141802293983,2450.0,599.32,616.0,643.9583333333334,636.0,626.0,610.0,587.0,459.3999938964844,0.0
2021-02-12 15:03:05,651.9313333333333,634.7722527472528,588.727032967033,600.0163636363636,3000,151.60131066174566,Batch-5,Recipe-C,188.0,70.0,-0.2052000015974044,Center Q1,2010141803113985,2450.0,599.2916666666666,616.0,643.0,636.375,626.0,609.125,587.0,459.2000122070313,0.0
2021-02-12 15:03:31,652.3058787878787,634.8822527472528,589.1657692307692,600.2930303030303,3000,151.65335316433564,Batch-5,Recipe-C,175.0,70.0,-0.0353999994695186,Center Q1,2010141803313986,2450.0,599.5416666666666,616.25,643.3333333333334,635.76,626.0,609.1666666666666,587.0,459.2000122070313,1.0
2021-02-12 15:03:53,652.7053939393937,635.4330769230769,589.204945054945,600.689393939394,3000,151.7107166939912,Batch-5,Recipe-C,188.0,70.0,0.1814000010490417,Center Q1,2010141803503987,2450.0,599.0,616.1666666666666,643.0,636.0,626.1666666666666,609.3913043478261,587.0,459.1000061035156,0.0
